"metric_name","n","mean_diff","median_diff","sd_diff","ensemble_win_pct"
"rmse",1432,3082.9384100845,1.9728105,15386.2267381782,NA
"mae",1432,2403.26894641341,1.3565365,11939.5531509832,NA
"mape",1432,21.4850053917598,1.431884,94.822722172445,NA
"logloss",1305,2.16150529808429,0.662424,3.17175189093418,NA
"r2",1350,0.231187284444444,0.0865175,0.299778085976507,NA
"precision",1305,0.132019950191571,0.098774,0.182789999335453,NA
"f1",1305,0.124720104980843,0.081481,0.191760551753709,NA
"recall",1305,0.112598301915709,0.071429,0.206463675055922,NA
"accuracy",1305,0.0794726459770115,0.054413,0.108954314530439,NA
"roc_auc",1305,0.076387891954023,0.05989,0.0696485626713421,NA
"smape",82,-3.09101696341463,1.305307,28.9190329776234,NA
