"column_name","data_type"
"comparison_id","character"
"run_id","character"
"task_type","character"
"dataset_id","character"
"dataset_source","character"
"model_pair","character"
"single_model_name","character"
"ensemble_model_name","character"
"metric_name","character"
"higher_better","character"
"single_metric_value","numeric"
"ensemble_metric_value","numeric"
"difference_value","numeric"
"abs_difference_value","numeric"
"ensemble_better","logical"
"split_method","character"
"fold","integer"
"repeat_id","integer"
"train_rows","integer"
"test_rows","integer"
"dataset_total_rows","integer"
"dataset_total_cols","integer"
"difference_definition","character"
"notes","character"
"valid_pair","logical"
