"metric_name","comparison_count","ensemble_wins","single_wins","ties","ensemble_win_rate","mean_difference","median_difference","sd_difference","min_difference","max_difference"
"logloss",1425,1334,91,0,0.9361,2.149257,0.671865,3.11354,-4.901586,16.687309
"roc_auc",1425,1296,110,19,0.9095,0.077462,0.060219,0.068672,-0.120536,0.363445
"r2",1350,1190,160,0,0.8815,0.231187,0.086518,0.299778,-0.121476,1.580767
"rmse",1350,1190,160,0,0.8815,3269.872424,1.96671,15827.675812,-8825.57045,104668.683603
"accuracy",1425,1235,130,60,0.8667,0.079541,0.05774,0.105473,-0.133333,0.591563
"mae",1350,1161,189,0,0.86,2549.185732,1.379357,12281.93286,-3869.6898,90203.252328
"f1",1425,1186,208,31,0.8323,0.122653,0.08164,0.186039,-0.148148,1
"mape",1350,1113,237,0,0.8244,27.715225,1.47316,71.95987,-33.543717,536.19015
"precision",1425,1153,224,48,0.8091,0.134855,0.108226,0.178404,-0.230769,1
"recall",1425,1052,270,103,0.7382,0.108731,0.071429,0.202603,-0.285714,1
