"task_type","metric_name","comparison_count","ensemble_wins","single_wins","ties","non_tie_comparison_count","ensemble_win_rate_all_rows","ensemble_win_rate_excluding_ties","mean_difference","median_difference","sd_difference","min_difference","max_difference"
"classification","logloss",1425,1334,91,0,1425,0.9361,0.9361,2.149257,0.671865,3.11354,-4.901586,16.687309
"classification","roc_auc",1425,1296,110,19,1406,0.9095,0.9218,0.077462,0.060219,0.068672,-0.120536,0.363445
"classification","accuracy",1425,1235,130,60,1365,0.8667,0.9048,0.079541,0.05774,0.105473,-0.133333,0.591563
"regression","r2",1350,1190,160,0,1350,0.8815,0.8815,0.231187,0.086518,0.299778,-0.121476,1.580767
"regression","rmse",1350,1190,160,0,1350,0.8815,0.8815,3269.872424,1.96671,15827.675812,-8825.57045,104668.683603
"regression","mae",1350,1161,189,0,1350,0.86,0.86,2549.185732,1.379357,12281.93286,-3869.6898,90203.252328
"classification","f1",1425,1186,208,31,1394,0.8323,0.8508,0.122653,0.08164,0.186039,-0.148148,1
"classification","precision",1425,1153,224,48,1377,0.8091,0.8373,0.134855,0.108226,0.178404,-0.230769,1
"regression","mape",1350,1113,237,0,1350,0.8244,0.8244,27.715225,1.47316,71.95987,-33.543717,536.19015
"classification","recall",1425,1052,270,103,1322,0.7382,0.7958,0.108731,0.071429,0.202603,-0.285714,1
